ArrayType;Size;QuickTime;QuickComparisons;MergeTime;MergeComparisons;TernaryQuickTime;TernaryQuickComparisons;MSDTime;MSDComparisons;MSDSwitchTime;MSDSwitchComparisons
Reverse;3000;154.485690;4559991;6.909853;25865;4.679863;143923;6.344975;0;2.714031;46996
Nearly;100;0.072983;1669;0.193526;525;0.029912;845;0.213672;0;0.033906;845
Nearly;200;0.253742;7817;0.340343;1271;0.067445;2679;0.402182;0;0.069378;2679
Nearly;300;0.444772;10109;0.693188;2199;0.139913;3637;0.714156;0;0.106789;446
Nearly;400;0.830193;17974;1.041055;3189;0.212306;6310;0.793434;0;0.151311;753
Nearly;500;0.619706;13585;1.026667;4273;0.318354;9555;0.658380;0;0.154430;1073
Nearly;600;0.464245;13653;1.483274;5613;0.332194;11305;0.867116;0;0.236094;1472
Nearly;700;0.919248;19613;1.977942;6726;0.506483;12131;1.338596;0;0.300071;1909
Nearly;800;1.339225;30209;2.410779;7940;0.512972;14602;1.411472;0;0.301306;2344
Nearly;900;2.070572;51308;2.754053;9318;0.506318;18691;1.128236;0;0.263699;2912
Nearly;1000;3.506169;75929;2.943492;9964;0.678512;18052;1.377658;0;0.342982;3424
Nearly;1100;1.634836;46018;2.602694;11913;0.650603;21696;1.464745;0;0.370337;4036
Nearly;1200;2.060996;57170;2.848679;13003;0.921432;32867;1.572985;0;0.467496;4480
Nearly;1300;2.128272;54680;3.190903;14755;0.760864;25926;2.011191;0;0.449760;5025
Nearly;1400;3.073607;69756;4.427013;15879;1.424419;40473;2.269813;0;0.555394;5667
Nearly;1500;2.497982;67213;5.193690;17361;1.176779;28100;3.114256;0;0.785448;6448
Nearly;1600;2.877156;62531;5.587637;19086;1.592875;38260;3.270104;0;0.843274;7147
Nearly;1700;4.015443;82835;5.935279;20404;1.570645;37668;3.174517;0;0.767890;7642
Nearly;1800;3.151140;101821;4.469328;21821;1.429485;50198;2.827729;0;0.759102;8156
Nearly;1900;3.217243;96465;5.306890;23033;1.311045;44342;3.222961;0;0.837024;8967
Nearly;2000;2.845856;86102;5.329255;24084;1.329299;44118;2.936968;0;0.787983;9699
Nearly;2100;2.632214;75286;5.303291;26509;1.633755;60909;3.181772;0;0.814901;10328
Nearly;2200;2.631507;87196;6.026884;27750;1.411267;51086;3.544919;0;0.834801;10774
Nearly;2300;6.155888;181385;6.432578;29765;2.161512;82024;3.509589;0;0.878275;11666
Nearly;2400;4.573203;127216;6.838708;31242;1.820624;59301;3.569337;0;0.903464;12359
Nearly;2500;2.402548;76506;6.318734;33226;1.899461;66985;4.342199;0;1.018552;13297
Nearly;2600;4.533467;137928;6.602423;34758;1.809717;63806;4.199977;0;1.137672;14191
Nearly;2700;5.298572;123874;7.893035;36531;2.075906;80364;4.428859;0;1.331061;14732
Nearly;2800;2.936681;93030;7.086461;38331;2.261106;76102;4.706966;0;1.125773;15534
Nearly;2900;4.353320;130879;7.850235;40263;1.435405;53854;5.106386;0;1.287047;16113
Nearly;3000;3.464488;98499;8.596976;40735;2.257698;68954;5.321826;0;1.429779;17200
